RCP_Normal,RCP_PFR,RCP_GFR,WAP1_PFR,WAP1P_PFR,WAP2_PFR,WAP2P_PFR,WAP1_GFR,WAP1P_GFR,WAP2_GFR,WAP2P_GFR
,,,6.3,,,9.2,,,,
,,,6.6,,,7.8,,,,
,,,7.2,,,7.3,,,,
,,,6.6,,,6.9,,,,
,,,6.6,,,9.03226,,,,
,,,6.3,,,8.86022,,,,
,,,6.3,,,9.29032,,,,
,,,5.8,,,9.37634,,,,
,,,7.1,,,8.41789,,,,
,,,6.5,,,8.37015,,,,
,,,6.4,,,9.49987,,,,
,,,11.3,,,10.1963,,,,
,,,11.1,,,10.9571,,,,
,,,13.68522581,,,11.1288,,,,
,,,,,,16.243,,,,
,,,,,,16.021,,,,
,,,,,,15.175,,,,
,,,,,,15.953,,,,
,,,,,,15.48,,,,
,,,,,,14.53,,,,
