col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08
games_howell_test,,,,,,,
group1,group2,estimate,conf.low,conf.high,p.adj,p.adj.signif,
RCP_Normal,RCP_GFR,-2.84918793146003,-4.88699042103395,-0.811385441886107,0.002,**,
RCP_Normal,WAP1_GFR,-0.634586730143264,-2.22014091896342,0.950967458676895,0.854,ns,
RCP_Normal,WAP1P_GFR,-0.363754594639751,-2.32098249885369,1.59347330957418,0.993,ns,
RCP_Normal,WAP2_GFR,-0.438441935076726,-1.88892402230878,1.01204015215533,0.949,ns,
RCP_Normal,WAP2P_GFR,0.476235689584739,-1.11291237209876,2.06538375126824,0.952,ns,
RCP_GFR,WAP1_GFR,2.21460120131676,0.035107391931732,4.3940950107018,0.044,*,
RCP_GFR,WAP1P_GFR,2.48543333682028,0.0545245238539498,4.9163421497866,0.042,*,
RCP_GFR,WAP2_GFR,2.4107459963833,0.3238618283598,4.4976301644068,0.015,*,
RCP_GFR,WAP2P_GFR,3.32542362104477,1.14488392774762,5.50596331434192,0.000461,***,
WAP1_GFR,WAP1P_GFR,0.270832135503513,-1.82925055185474,2.37091482286176,0.999,ns,
WAP1_GFR,WAP2_GFR,0.196144795066537,-1.45785993575356,1.85014952588664,0.999,ns,
WAP1_GFR,WAP2P_GFR,1.110822419728,-0.665854787517789,2.88749962697379,0.461,ns,
WAP1P_GFR,WAP2_GFR,-0.0746873404369754,-2.08176231330531,1.93238763243135,1,ns,
WAP1P_GFR,WAP2P_GFR,0.83999028422449,-1.26147151199191,2.94145208044089,0.839,ns,
WAP2_GFR,WAP2P_GFR,0.914677624661465,-0.742437782100146,2.57179303142308,0.594,ns,
Figure6d,,,,,,,
dunn_test,,,,,,,
group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
RCP_Normal,RCP_GFR,46,31,-3.31736765896016,0.000908699533985987,0.0068152465048949,**
RCP_Normal,WAP1_GFR,46,61,-0.773675063628431,0.439122969975666,0.598804049966818,ns
RCP_Normal,WAP1P_GFR,46,21,-0.472929818042304,0.63626325067985,0.795329063349812,ns
RCP_Normal,WAP2_GFR,46,34,-0.971739812949164,0.331180004925812,0.496770007388718,ns
RCP_Normal,WAP2P_GFR,46,49,1.00364445751679,0.315550017676417,0.496770007388718,ns
RCP_GFR,WAP1_GFR,31,61,2.80992082599319,0.00495536885993665,0.0247768442996832,*
RCP_GFR,WAP1P_GFR,31,21,2.28682935417864,0.0222057854094695,0.0794281096603504,ns
RCP_GFR,WAP2_GFR,31,34,2.2191571288182,0.0264760365534501,0.0794281096603504,ns
RCP_GFR,WAP2P_GFR,31,49,4.25686328474912,2.07315042163014e-05,0.000310972563244521,***
WAP1_GFR,WAP1P_GFR,61,21,0.104856315425927,0.916489823048801,0.916489823048801,ns
WAP1_GFR,WAP2_GFR,61,34,-0.320968974909861,0.748233902397146,0.8016791811398,ns
WAP1_GFR,WAP2P_GFR,61,49,1.86160812385041,0.0626583473591954,0.134267887198276,ns
WAP1P_GFR,WAP2_GFR,21,34,-0.34309352535688,0.731528101859166,0.8016791811398,ns
WAP1P_GFR,WAP2P_GFR,21,49,1.26752718864355,0.204966848207803,0.384312840389631,ns
WAP2_GFR,WAP2P_GFR,34,49,1.9077652340998,0.0564215660627857,0.134267887198276,ns
group,mean,sd,ymin,ymax,,,
RCP_Normal,12.0614421247826,2.25438006972356,9.80706205505905,14.3158221945062,,,
RCP_PFR,10.0016211130682,2.10043111813199,7.90118999493619,12.1020522312002,,,
WAP1_PFR,10.7196632814898,2.46830429035943,8.25135899113037,13.1879675718492,,,
WAP1P_PFR,11.02510147175,2.38656677311079,8.63853469863921,13.4116682448608,,,
WAP2_PFR,11.9027091252346,1.81887099990399,10.0838381253306,13.7215801251386,,,
WAP2P_PFR,10.8810549873654,2.49522678317026,8.38582820419513,13.3762817705356,,,
group,letter,,,,,,
RCP_Normal,a,,,,,,
RCP_GFR,b,,,,,,
WAP1_GFR,a,,,,,,
WAP1P_GFR,ab,,,,,,
WAP2_GFR,ab,,,,,,
WAP2P_GFR,a,,,,,,
