"group","mean","sd","ymin","ymax"
"RCP_Normal",12.0614421247826,2.25438006972356,9.80706205505905,14.3158221945062
"RCP_GFR",9.21225419332258,3.34569501212649,5.86655918119609,12.5579492054491
"WAP1_GFR",11.4268553946393,3.38345858379773,8.04339681084162,14.8103139784371
"WAP1P_GFR",11.6976875301429,2.55604618187793,9.14164134826493,14.2537337120208
"WAP2_GFR",11.6230001897059,2.14365317156371,9.47934701814217,13.7666533612696
"WAP2P_GFR",12.5376778143673,3.02791117588779,9.50976663847956,15.5655889902551
