"adjust","contrast","estimate","SE","df","t.ratio","p.value"
"none","Normal - PFR",4.67169577148819,1.01025828724472,3478,4.62425879646018,3.8962210351644e-06
"none","Normal - GFR",3.06035896249351,1.07516146782743,3478,2.84641800703437,0.00444730941557946
"none","PFR - GFR",-1.61133680899468,1.10877044486463,3478,-1.45326457469869,0.146240527240408
"tukey","Normal - PFR",4.67169577148819,1.01025828724472,3478,4.62425879646018,1.16234208986654e-05
"tukey","Normal - GFR",3.06035896249351,1.07516146782743,3478,2.84641800703437,0.0123636396010742
"tukey","PFR - GFR",-1.61133680899468,1.10877044486463,3478,-1.45326457469869,0.313815583025512
