"group","est","se","lwr","upr","pct","pct_lwr","pct_upr","k","n_ref","n_sy","n_lab"
"Overall",20.4823908191283,0.658672140382549,19.1913934239785,21.7733882142781,20.4823908191283,19.1913934239785,21.7733882142781,4317,278,837,"n=4317"
"Normal",22.8688386578305,0.827044893332063,21.2478306668997,24.4898466487614,854693569759.878,168972337036.344,4323199351580.75,1752,147,356,"n=1752"
"PFR",18.1971428863355,0.869183855304075,16.4935425299395,19.9007432427315,7996846071.40682,1455641665.00234,43932202332.4034,1456,142,279,"n=1456"
"GFR",19.8084796953503,0.984761761112453,17.8783466435699,21.7386127471307,40060228809.6756,5813896356.34303,276032081370.032,1109,96,207,"n=1109"
