"N_rate","env_group","Nc","AEN_hat","AEN_lwr","AEN_upr","pct","pct_lwr","pct_upr"
25,"Normal",-155,45.382432169187,43.1202013664002,47.6446629719737,45.382432169187,43.1202013664002,47.6446629719737
27.14859437751,"Normal",-152.85140562249,45.0565403906612,42.8227788946009,47.2903018867215,45.0565403906612,42.8227788946009,47.2903018867215
29.2971887550201,"Normal",-150.70281124498,44.7307191497151,42.5248968251032,46.9365414743271,44.7307191497151,42.5248968251032,46.9365414743271
31.4457831325301,"Normal",-148.55421686747,44.4050389839284,42.2265966316726,46.5834813361842,44.4050389839284,42.2265966316726,46.5834813361842
33.5943775100402,"Normal",-146.40562248996,44.0795704308807,41.927920267902,46.2312205938594,44.0795704308807,41.927920267902,46.2312205938594
35.7429718875502,"Normal",-144.25702811245,43.7543840281517,41.6289102706769,45.8798577856265,43.7543840281517,41.6289102706769,45.8798577856265
37.8915662650602,"Normal",-142.10843373494,43.4295503133211,41.3296098711657,45.5294907554764,43.4295503133211,41.3296098711657,45.5294907554764
40.0401606425703,"Normal",-139.95983935743,43.1051398239685,41.0300631130375,45.1802165348996,43.1051398239685,41.0300631130375,45.1802165348996
42.1887550200803,"Normal",-137.81124497992,42.7812230976737,40.7303149774387,44.8321312179087,42.7812230976737,40.7303149774387,44.8321312179087
44.3373493975904,"Normal",-135.66265060241,42.4578706720163,40.4304115140769,44.4853298299557,42.4578706720163,40.4304115140769,44.4853298299557
46.4859437751004,"Normal",-133.5140562249,42.135153084576,40.130399977556,44.1399061915959,42.135153084576,40.130399977556,44.1399061915959
48.6345381526104,"Normal",-131.36546184739,41.8131408729324,39.8303289679018,43.795952777963,41.8131408729324,39.8303289679018,43.795952777963
50.7831325301205,"Normal",-129.21686746988,41.4919045746653,39.5302485739977,43.4535605753329,41.4919045746653,39.5302485739977,43.4535605753329
52.9317269076305,"Normal",-127.068273092369,41.1715147273543,39.2302105184443,43.1128189362643,41.1715147273543,39.2302105184443,43.1128189362643
55.0803212851406,"Normal",-124.919678714859,40.8520418685791,38.9302683021487,42.7738154350095,40.8520418685791,38.9302683021487,42.7738154350095
57.2289156626506,"Normal",-122.771084337349,40.5335565359194,38.6304773467696,42.4366357250691,40.5335565359194,38.6304773467696,42.4366357250691
59.3775100401606,"Normal",-120.622489959839,40.2161292669548,38.3308951329847,42.1013634009249,40.2161292669548,38.3308951329847,42.1013634009249
