"group","est","se","lwr","upr","pct","pct_lwr","pct_upr","k","n_ref","n_sy"
"Normal",0.524963183475485,0.0207548412412737,0.484283694642589,0.565642672308382,69.0396612705117,62.301202016126,76.0578894517997,1752,147,356
"PFR",0.451131075939087,0.0216268858474218,0.408742379678141,0.493519772200034,57.0087069243086,50.4923971543778,63.8071724298155,1456,142,279
"GFR",0.465519113034756,0.024460451214935,0.417576628653484,0.513461597416029,59.2840838747865,51.8277743020033,67.1065751472012,1109,96,207
