"adjust","contrast","estimate","SE","df","t.ratio","p.value"
"none","Normal - PFR",0.0738321075362394,0.0244256276772435,3478,3.02273122770254,0.00252331252533616
"none","Normal - GFR",0.0594440704405489,0.0262828603484931,3478,2.26170476319397,0.0237771383424833
"none","PFR - GFR",-0.0143880370956905,0.0266531009736846,3478,-0.539826007859131,0.589351588996188
"tukey","Normal - PFR",0.0738321075362394,0.0244256276772435,3478,3.02273122770254,0.00712048542478594
"tukey","Normal - GFR",0.0594440704405489,0.0262828603484931,3478,2.26170476319397,0.0614509898295439
"tukey","PFR - GFR",-0.0143880370956905,0.0266531009736846,3478,-0.539826007859131,0.851668532539875
