"N_rate","env_group","Nc","lnRR_hat","lnRR_lwr","lnRR_upr","pct","pct_lwr","pct_upr"
25,"Normal",-155,0.229865101020271,0.179261667184212,0.280468534856329,25.8430237523571,19.6333744497441,32.3749890026628
27.14859437751,"Normal",-152.85140562249,0.23433663945041,0.18412335908508,0.28454991981574,26.4069956405147,20.2164111814683,32.9163663249022
29.2971887550201,"Normal",-150.70281124498,0.238807242589678,0.188974907643973,0.288639577535382,26.9733762401736,20.8010640269531,33.4610618183918
31.4457831325301,"Normal",-148.55421686747,0.243275975147202,0.193815048052899,0.292736902241504,27.5420559930228,21.3871754248883,34.0090169327072
33.5943775100402,"Normal",-146.40562248996,0.24774190183211,0.198642531760091,0.296841271904129,28.1129232411637,21.9745867550452,34.5601697700969
35.7429718875502,"Normal",-144.25702811245,0.252204087353531,0.203456127650744,0.300952047056317,28.6858642061398,22.5631385133465,35.1144548626075
37.8915662650602,"Normal",-142.10843373494,0.256661596420592,0.208254623222754,0.30506856961843,29.2607629689585,23.1526704928996,35.6718029454391
40.0401606425703,"Normal",-139.95983935743,0.261113493742423,0.213036825748178,0.309190161736667,29.8375014511397,23.7430219698207,36.2321407277907
42.1887550200803,"Normal",-137.81124497992,0.26555884402815,0.217801563410548,0.313316124645751,30.4159593968288,24.3340318925472,36.7953906625849
44.3373493975904,"Normal",-135.66265060241,0.269996711986902,0.222547686407673,0.317445737566131,30.9960143560057,24.9255390732127,37.3614707165862
46.4859437751004,"Normal",-133.5140562249,0.274426162327808,0.227274068009158,0.321578256646458,31.5775416688309,25.5173823795513,37.930294142538
48.6345381526104,"Normal",-131.36546184739,0.278846259759995,0.231979605557689,0.325712913962301,32.1604144511612,26.1094009257042,38.5017692550359
50.7831325301205,"Normal",-129.21686746988,0.283256068992592,0.236663221403021,0.329848916582162,32.7445035812746,26.7014342602292,39.0757992119287
52.9317269076305,"Normal",-127.068273092369,0.287654654734726,0.241323863757742,0.333985445711711,33.329677687841,27.2933225495658,39.6522818030897
55.0803212851406,"Normal",-124.919678714859,0.292041081695526,0.245960507464174,0.338121655926878,33.9158031391764,27.8849067551824,40.2311092484251
57.2289156626506,"Normal",-122.771084337349,0.29641441458412,0.250572154662285,0.342256674505956,34.5027440338189,28.4760288026376,40.8121680069832
59.3775100401606,"Normal",-120.622489959839,0.300773718109637,0.255157835349126,0.346389600870147,35.0903621924646,29.0665317408189,41.395338598997
61.5261044176707,"Normal",-118.473895582329,0.305118056981203,0.259716607821262,0.350519506141144,35.6785171513023,29.656259889688,41.9804954426295
63.6746987951807,"Normal",-116.325301204819,0.309446495907948,0.264247558992638,0.354645432823257,36.2670661567851,30.2450589749509,42.5675067070978
65.8232931726908,"Normal",-114.176706827309,0.313758099598999,0.268749804581627,0.358766394616372,36.8558641618792,30.8327762481962,43.156234183733
67.9718875502008,"Normal",-112.028112449799,0.318051932763485,0.273222489162298,0.362881376364672,37.4447638238262,31.4192605911934,43.7465331763803
70.1204819277108,"Normal",-109.879518072289,0.322327060110534,0.277664786076495,0.366989334144573,38.0336155034617,32.0043626032149,44.338252412375
72.2690763052209,"Normal",-107.730923694779,0.326582546349274,0.282075897204814,0.371089195493734,38.6222672661256,32.5879346704436,44.9312339751289
74.4176706827309,"Normal",-105.582329317269,0.330817456188833,0.286455052596243,0.375179859781422,39.2105648842054,33.1698310167365,45.5253132591569
76.566265060241,"Normal",-103.433734939759,0.335030854338339,0.290801509957817,0.379260198718861,39.798351841351,33.7499077352416,46.1203189481427
78.714859437751,"Normal",-101.285140562249,0.33922180550692,0.295114554007265,0.383329057006576,40.3854693383989,34.3280228005932,46.7160730164152
80.863453815261,"Normal",-99.136546184739,0.343389374403705,0.299393495693169,0.387385253114241,40.971756301046,34.9040360616486,47.3123907539718
83.0120481927711,"Normal",-96.9879518072289,0.347532625737822,0.30363767128861,0.391427580187034,41.55704938931,35.4778092149529,47.9090808149552
85.1606425702811,"Normal",-94.8393574297189,0.351650624218398,0.307846441365571,0.395454807071225,42.1411830088152,36.0492057593439,48.505945289268
87.3092369477912,"Normal",-92.6907630522088,0.355742434554562,0.31201918965858,0.399465679450545,42.7239893239414,36.6180909323147,49.1027797968031
89.4578313253012,"Normal",-90.5421686746988,0.359807121455443,0.316155321827007,0.403458921083879,43.305298272873,37.1843316289382,49.6993736035747
91.6064257028113,"Normal",-88.3935742971887,0.363843749630167,0.320254264126261,0.407433235134074,43.8849375845859,37.7477963043303,50.2955097588692
93.7550200803213,"Normal",-86.2449799196787,0.367851383787864,0.324315461998683,0.411387305577045,44.4627327978075,38.3083548607646,50.890965252389
