env_ID,gp_id,gp_lat,gp_lon,continent,country,site,region,sowing_date,harvest_date,R1_date,total_days,total_GDD,preR1_days,preR1_GDD,postR1_days,postR1_GDD,total_EDH30,total_EDH35,preR1_EDH30,preR1_EDH35,postR1_EDH30,postR1_EDH35
2019_06_04_42.02__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Iowa State University Agronomy Research and Demonstration Farm at Boone, IA",North America_Rainfed,2019/6/4,2019/11/3,,152,1624.96395,,,,,264.52544,1.22164,,,,
2020_05_08_42.02__93.76,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Iowa State University Agronomy Research and Demonstration Farm at Boone, IA",North America_Rainfed,2020/5/8,2020/10/7,,152,1748.35686,,,,,563.45677,10.82968,,,,
2005_04_18_42.07__93.87,ERA5_42.00_-93.75,42,-93.75,North America,USA,Iowa_Boone,North America_Rainfed,2005/4/18,2005/9/17,2005/7/14,152,1670.58812,88,838.751115,65,831.837005,396.11105,0,91.22224,0,304.88881,0
1999_05_19_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,1999/5/19,1999/9/14,1999/7/10,118,1410.376805,53,584.63827,66,825.738535,337.07415,2.66548,55.1194,0,281.95475,2.66548
2000_05_05_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2000/5/5,2000/8/31,2000/6/26,118,1361.48226,53,518.11853,66,843.36373,79.17087,0,20.65273,0,58.51814,0
2001_05_09_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2001/5/9,2001/9/4,2001/6/30,118,1370.354355,53,487.44871,66,882.905645,267.96772,0,43.46179,0,224.50593,0
2002_05_03_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2002/5/3,2002/8/29,2002/6/24,118,1367.013975,53,482.915075,66,884.0989,194.59476,0,18.30071,0,176.29405,0
2003_04_29_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2003/4/29,2003/8/25,2003/6/20,118,1238.338315,53,372.25917,66,866.079145,280.9136,0.78416,0,0,280.9136,0.78416
2004_04_27_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2004/4/27,2004/8/23,2004/6/18,118,1188.906995,53,496.935325,66,691.97167,29.23156,0,9.82579,0,19.40577,0
2005_05_10_42.01__93.79,ERA5_42.00_-93.75,42,-93.75,North America,USA,"Iowa_Agricultural Engineering and Agronomy Research Farm near Ames, Iowa",North America_Rainfed,2005/5/10,2005/9/5,2005/7/1,118,1425.22002,53,559.979155,66,865.240865,357.82737,0,54.82684,0,303.00053,0
